ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Составитель,Тип обложки,Тираж,Формат,Художник,Цена
1004316,1347326,5170071795,Пушкин А.,,2002,0,АСТ,192,Пушкин Стихотворения,https://img-gorod.ru/upload/iblock/5a8/5a8851767995b1e22021dd2a8f006e11.jpg,,,0,Хрестоматия школьника,,Твердая глянцевая,,20.7 x 13.3 x 1.5,,74
1005450,2610031,9785995132998,Пушкин А.,6+,2017,0,Стрекоза,80,Сказки,https://img-gorod.ru/upload/iblock/0e2/0e21c2d6177d97e45b1136a3dccdbb8f.jpg,,,0,Внеклассное чтение,,Мягкая бумажная,,21 x 14 x 0.4,Бедарев Г.,68
1006688,2611100,9785699780938,Пушкин А.,0+,2017,0,Эксмо,43,Сказка о рыбаке и рыбке,https://img-gorod.ru/upload/iblock/896/8960726d3834133d8cd362a2253886a6.jpg,,Талалаева Е.,0,Самые лучшие сказки,,Твердая глянцевая,5000,20.3 x 14.5 x 0.8,,141
1009569,2613592,9785353085843,Пушкин А.,0+,2017,0,Росмэн,32,Сказка о золотом петушке,https://img-gorod.ru/upload/iblock/647/64741a40dc07a18302f5147c4084c724.jpg,,Конча Н.,0,Детская библиотека РОСМЭН,,Твердая глянцевая,,20 x 13.5 x 0.5,,72
1010177,2614206,9785179832010,Пушкин А.,12+,2017,0,АСТ,222,Дубровский. Повести Белкина,https://img-gorod.ru/upload/iblock/d24/d24251088105aa987b17bd662bf5b14b.jpg,,,0,Школьное чтение,,Твердая бумажная,3000,20.5 x 13 x 1.3,,162
1010178,2614207,9785179832027,Пушкин А.,12+,2017,0,АСТ,222,Дубровский. Повести Белкина,https://img-gorod.ru/upload/iblock/01f/01f613371fffc953f2589e96ea654ccc.jpg,,,0,Классика для школьников,,Твердая бумажная,2000,20.5 x 13 x 1.3,,178
1013331,2616142,9785389133136,Пушкин А.,0+,2018,0,Махаон,176,Повести Белкина. Дубровский,https://img-gorod.ru/upload/iblock/601/601e224bed3fe878450938befe53cda9.jpg,,Бирюкова А.Ю.,0,,,Твердая бумажная,5000,24.4 x 20 x 1.8,Иткин Анатолий,408
1014019,2616797,9785171057824,Пушкин А.,12+,2017,0,АСТ,352,Пиковая дама. Повести и поэмы,https://img-gorod.ru/upload/iblock/f82/f82dfa6b4413d4eef3e3d64612fe926d.jpg,,,0,Эксклюзив: Русская классика,,Мягкая бумажная,5000,18 x 11.6 x 1.8,,138
1014441,2617203,9785040894284,Пушкин А.,16+,2017,0,Издательство Э,544,Стихотворения. Сказки. Поэмы,https://img-gorod.ru/upload/iblock/476/4764f715279e4f577d00c8b5686dcd4c.jpg,,,0,100 главных книг,,Твердая бумажная,2000,20.8 x 13.5 x 2.8,,304
1015173,2617918,9785040900091,Пушкин А.,16+,2017,0,Издательство Э,384,Евгений Онегин,https://img-gorod.ru/upload/iblock/19b/19b912256dbe262449feb14aeeb63289.jpg,,,0,Всемирная библиотека поэзии,,Твердая бумажная,3000,17 x 17.5 x 2,,203
